userid,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level 
333943,0,11,1,5,,2,0,
362437,34,4,2,4,3.0,3,0,3.0
385347,16,3,2,3,1.0,3,0,2.0
416161,0,3,2,3,,3,0,
441149,42,5,2,5,1.0,3,0,4.0
481310,36,5,2,5,2.0,1,0,
486457,0,3,2,3,,1,0,2.0
511764,0,8,1,2,,3,0,2.0
515670,0,2,2,2,1.0,3,0,
595324,17,3,2,3,1.0,3,0,4.0
596853,0,8,1,2,,2,0,
698894,80,10,1,4,2.0,3,0,2.0
740966,8,2,2,2,1.0,3,0,3.0
756445,0,2,2,2,,2,0,
773085,19,3,2,3,2.0,3,0,2.0
787825,37,5,2,5,2.0,2,0,2.0
819248,92,11,1,5,2.0,3,0,3.0
871827,0,5,2,5,,3,0,3.0
875113,45,5,2,5,2.0,3,0,3.0
892584,54,8,1,2,3.0,3,1,2.0
905730,0,11,1,5,,3,0,4.0
914122,20,3,2,3,2.0,3,0,4.0
938743,0,1,2,1,,2,1,
989075,0,4,2,4,,3,0,2.0
1027846,45,5,2,5,2.0,3,0,4.0
1064867,0,3,2,3,,2,0,
21486,0,8,1,2,,2,0,1.0
31009,0,2,2,2,,3,0,4.0
41166,0,5,2,5,,3,0,2.0
106227,0,4,2,4,2.0,3,0,
107823,0,7,1,1,,2,0,
140922,0,9,1,3,,3,0,
202264,33,4,2,4,2.0,3,0,2.0
215267,2,1,2,1,1.0,3,0,2.0
236082,0,3,2,3,,3,0,
267226,0,4,2,4,,3,0,
406498,44,5,2,5,2.0,3,0,2.0
468454,19,3,2,3,2.0,3,0,2.0
494976,8,2,2,2,2.0,3,0,4.0
610400,0,3,2,3,,3,0,
639642,34,4,2,4,2.0,3,0,4.0
699929,0,3,2,3,,3,0,2.0
779886,95,12,1,6,2.0,2,0,
854702,0,10,1,4,,3,0,2.0
946433,0,4,2,4,,1,0,
1001921,19,3,2,3,2.0,3,0,2.0
1010370,0,3,2,3,,3,0,1.0
1028457,67,9,1,3,2.0,3,0,4.0
1064148,53,8,1,2,1.0,2,1,3.0
1077562,0,1,2,1,,3,0,
30848,0,11,1,5,,3,0,
72812,0,3,2,3,,3,0,4.0
134352,0,4,2,4,,3,0,3.0
169397,0,9,1,3,,3,0,3.0
179762,11,3,2,3,2.0,2,0,1.0
222633,0,9,1,3,,3,0,2.0
277054,0,9,1,3,,3,0,4.0
285841,19,3,2,3,2.0,3,0,2.0
286292,45,5,2,5,2.0,3,0,3.0
358588,0,11,1,5,,3,0,3.0
374694,0,10,1,4,,2,0,
410298,0,10,1,4,,1,0,
410798,54,8,1,2,1.0,3,1,2.0
427590,0,4,2,4,,3,0,2.0
476840,21,3,2,3,2.0,3,0,2.0
546906,0,2,2,2,,3,1,
555088,0,2,2,2,,3,0,4.0
562622,0,3,2,3,,3,0,2.0
601851,0,10,1,4,,3,0,4.0
675651,0,5,2,5,,3,0,1.0
686504,67,9,1,3,2.0,3,0,4.0
706909,0,8,1,2,,2,0,
719395,0,3,2,3,,3,0,4.0
795482,0,1,2,1,,3,0,
798573,0,10,1,4,,3,0,2.0
817764,5,2,2,2,1.0,3,1,4.0
846269,0,4,2,4,,3,0,3.0
884912,0,3,2,3,,3,0,1.0
903005,0,4,2,4,,3,0,2.0
1043985,0,4,2,4,2.0,3,0,
1064532,0,4,2,4,,3,0,
1066213,0,11,1,5,,3,0,
1078761,0,10,1,4,,3,0,1.0
1092723,0,4,2,4,2.0,3,0,
1102457,0,8,1,2,,3,0,
1139976,0,8,1,2,3.0,3,0,
39642,81,10,1,4,2.0,3,0,3.0
173787,20,3,2,3,2.0,3,0,3.0
203908,5,2,2,2,1.0,3,1,1.0
217058,0,11,1,5,,1,0,
267959,8,2,2,2,1.0,3,0,3.0
268496,0,4,2,4,,2,0,
273687,0,3,2,3,,1,0,3.0
300026,0,3,2,3,,2,1,
325620,22,3,2,3,3.0,3,0,3.0
377969,0,9,1,3,,2,0,1.0
417409,0,1,2,1,,3,0,
424056,33,4,2,4,2.0,3,0,2.0
430234,8,2,2,2,2.0,3,0,3.0
434021,34,4,2,4,2.0,3,0,3.0
444330,0,7,1,1,,2,0,
470422,54,8,1,2,1.0,3,1,
515682,0,5,2,5,,3,0,2.0
559300,0,10,1,4,,3,0,
600233,66,9,1,3,2.0,3,0,2.0
633452,0,7,1,1,,2,0,
647349,0,5,2,5,,3,0,
654860,0,11,1,5,,2,0,
672745,0,5,2,5,,3,0,3.0
697422,0,7,1,1,,3,0,
753320,56,8,1,2,3.0,3,0,1.0
839177,57,8,1,2,2.0,3,0,4.0
844312,65,9,1,3,1.0,3,0,4.0
951960,0,12,1,6,,1,0,
961123,44,5,2,5,2.0,3,0,2.0
976455,20,3,2,3,2.0,3,0,3.0
1010353,0,5,2,5,2.0,3,0,
1043787,81,10,1,4,2.0,3,0,4.0
1064344,0,4,2,4,,3,0,2.0
1065244,44,5,2,5,2.0,3,0,2.0
1118603,51,7,1,1,2.0,3,0,2.0
1125638,0,3,2,3,,3,0,3.0
1135316,0,9,1,3,,3,0,1.0
1139968,0,3,2,3,,3,0,
10197,0,12,1,6,,3,0,
22322,0,5,2,5,,3,0,2.0
38264,0,10,1,4,,3,0,4.0
47805,0,3,2,3,,3,0,2.0
104672,0,10,1,4,,1,0,
125942,0,2,2,2,,3,1,
162240,21,3,2,3,3.0,3,0,2.0
166731,17,3,2,3,1.0,3,0,4.0
178010,0,11,1,5,,3,0,4.0
185271,0,11,1,5,,3,0,
338232,0,10,1,4,,3,0,4.0
338410,0,3,2,3,,3,0,
361773,0,5,2,5,,3,0,2.0
418100,5,2,2,2,2.0,3,1,1.0
447379,0,4,2,4,,3,0,
450034,0,9,1,3,,2,1,
452199,0,5,2,5,,3,0,3.0
454979,0,10,1,4,,3,0,4.0
455132,0,3,2,3,,3,0,2.0
478299,22,3,2,3,3.0,3,0,3.0
561421,0,5,2,5,,1,0,
567203,0,4,2,4,,1,0,
578056,20,3,2,3,2.0,3,0,3.0
584298,6,2,2,2,1.0,2,0,
636409,45,5,2,5,2.0,3,0,3.0
640755,36,5,2,5,2.0,1,0,
645099,20,3,2,3,2.0,3,0,4.0
715692,0,4,2,4,,3,0,3.0
721034,0,9,1,3,,2,0,
728357,0,10,1,4,,2,0,2.0
748159,0,9,1,3,1.0,1,0,
787460,45,5,2,5,3.0,3,0,3.0
795001,33,4,2,4,2.0,3,0,2.0
834213,19,3,2,3,2.0,3,0,2.0
854909,2,1,2,1,1.0,3,0,
858093,78,10,1,4,1.0,3,0,3.0
908804,19,3,2,3,2.0,3,0,2.0
941818,0,2,2,2,,1,0,
1031252,0,7,1,1,,3,0,
1096072,51,7,1,1,2.0,3,0,2.0
1113032,0,5,2,5,,3,0,2.0
1122690,41,5,2,5,1.0,3,0,2.0
1125756,0,10,1,4,,2,0,
115869,0,11,1,5,,2,0,4.0
130947,0,2,2,2,,3,0,
149616,0,3,2,3,,2,0,
158946,0,2,2,2,,2,1,
167610,0,2,2,2,,2,0,
174177,82,10,1,4,3.0,3,0,2.0
180321,0,4,2,4,,3,0,
222051,20,3,2,3,2.0,3,0,4.0
249352,35,4,2,4,3.0,3,0,1.0
267024,0,9,1,3,,3,0,
314185,0,2,2,2,,2,0,
323012,0,4,2,4,,1,0,
366853,0,2,2,2,,3,0,2.0
380796,92,11,1,5,2.0,3,0,4.0
411834,0,2,2,2,,3,1,
416243,92,11,1,5,3.0,3,0,4.0
436090,17,3,2,3,1.0,3,0,4.0
449501,0,2,2,2,,1,0,
454639,7,2,2,2,1.0,3,0,2.0
466526,0,3,2,3,,3,0,2.0
571797,0,5,2,5,,2,0,
584098,0,9,1,3,,3,0,2.0
586285,45,5,2,5,2.0,3,0,3.0
669028,0,7,1,1,,3,0,
744152,7,2,2,2,1.0,3,0,1.0
793572,15,3,2,3,1.0,3,0,1.0
846344,0,4,2,4,,3,0,
875849,0,11,1,5,,2,0,2.0
1009483,0,4,2,4,,3,0,
1023404,0,11,1,5,,3,0,3.0
1050898,0,9,1,3,,3,0,2.0
37677,0,9,1,3,,3,0,
102026,5,2,2,2,3.0,3,1,4.0
256980,0,7,1,1,,2,0,2.0
289261,35,4,2,4,2.0,3,0,2.0
312179,0,1,2,1,,3,0,
321814,0,3,2,3,,3,0,2.0
343125,0,3,2,3,2.0,2,0,
357790,64,9,1,3,1.0,3,0,2.0
364681,12,3,2,3,2.0,2,0,4.0
385299,0,9,1,3,,3,0,4.0
389055,0,1,2,1,,3,0,
456434,20,3,2,3,2.0,3,0,4.0
469643,0,2,2,2,,3,1,3.0
471648,83,11,1,5,1.0,1,0,
497595,2,1,2,1,1.0,3,0,3.0
528694,0,3,2,3,,3,0,3.0
580030,0,9,1,3,3.0,2,0,
594377,57,8,1,2,2.0,3,0,4.0
723764,0,10,1,4,,1,0,
760495,35,4,2,4,3.0,3,0,2.0
862345,0,3,2,3,,1,1,
899301,0,2,2,2,2.0,3,0,
902785,0,3,2,3,,3,0,2.0
947074,0,3,2,3,,1,0,
1007021,60,9,1,3,1.0,2,0,2.0
110644,0,3,2,3,,3,0,
123174,44,5,2,5,2.0,3,0,2.0
165114,64,9,1,3,1.0,3,0,2.0
175649,7,2,2,2,1.0,3,0,2.0
206778,0,11,1,5,,1,0,
263012,7,2,2,2,2.0,3,0,1.0
352040,0,5,2,5,,2,0,
385083,21,3,2,3,3.0,3,0,2.0
414763,0,7,1,1,,2,0,
418295,5,2,2,2,2.0,3,1,2.0
457024,0,10,1,4,,2,0,
511601,0,5,2,5,,2,0,
541692,33,4,2,4,2.0,3,0,2.0
552187,0,4,2,4,,3,0,2.0
573090,82,10,1,4,2.0,3,0,2.0
590906,0,4,2,4,,3,0,2.0
627638,0,2,2,2,,3,1,
706042,0,3,2,3,,3,1,3.0
706137,80,10,1,4,2.0,3,0,2.0
720962,0,5,2,5,,3,0,2.0
727453,0,8,1,2,,3,0,1.0
854010,32,4,2,4,2.0,3,0,1.0
898321,0,3,2,3,,3,0,
905802,20,3,2,3,2.0,3,0,3.0
934986,0,1,2,1,,2,0,
1032984,0,4,2,4,,3,0,1.0
1089976,0,3,2,3,,3,0,4.0
1101421,0,4,2,4,,3,0,
1112582,0,11,1,5,,3,0,3.0
1128963,16,3,2,3,1.0,3,0,2.0
24657,0,11,1,5,3.0,3,0,
69400,64,9,1,3,1.0,3,1,2.0
80898,57,8,1,2,1.0,3,0,4.0
96653,17,3,2,3,1.0,3,0,4.0
108053,17,3,2,3,1.0,3,0,4.0
160279,11,3,2,3,1.0,2,0,2.0
169013,0,1,2,1,,3,0,3.0
218393,34,4,2,4,2.0,3,0,4.0
320312,0,8,1,2,,2,1,
375019,66,9,1,3,2.0,3,0,1.0
509662,20,3,2,3,2.0,3,0,3.0
510285,8,2,2,2,2.0,3,0,3.0
535885,81,10,1,4,2.0,3,0,4.0
571501,0,2,2,2,,3,0,2.0
630450,82,10,1,4,3.0,3,0,1.0
868734,0,10,1,4,,3,0,2.0
875373,16,3,2,3,1.0,3,0,2.0
928658,0,11,1,5,,1,0,
968104,0,3,2,3,2.0,3,0,
969887,0,3,2,3,,3,0,4.0
1038510,0,5,2,5,,1,0,
1092998,0,3,2,3,,2,0,
38977,2,1,2,1,1.0,3,0,2.0
63227,0,9,1,3,,3,0,
91590,0,8,1,2,,3,0,2.0
164909,91,11,1,5,2.0,3,0,2.0
187104,2,1,2,1,2.0,3,0,
237588,0,11,1,5,,3,0,
280611,0,11,1,5,,3,0,3.0
316762,0,11,1,5,,1,0,
326475,0,3,2,3,,3,0,
362472,8,2,2,2,1.0,3,0,3.0
383077,0,8,1,2,,2,0,
391473,91,11,1,5,2.0,3,0,2.0
406223,0,4,2,4,,3,0,2.0
412187,0,11,1,5,1.0,3,0,
434212,0,4,2,4,,3,0,2.0
540402,57,8,1,2,3.0,3,0,3.0
577058,0,3,2,3,,3,0,2.0
611177,78,10,1,4,1.0,3,0,4.0
644094,45,5,2,5,2.0,3,0,4.0
741309,0,3,2,3,,3,0,2.0
813029,0,9,1,3,,3,0,
832666,66,9,1,3,2.0,3,0,2.0
843572,19,3,2,3,2.0,3,0,2.0
859821,0,7,1,1,,3,0,
872894,0,8,1,2,,2,0,2.0
903954,0,5,2,5,,3,0,3.0
916273,81,10,1,4,2.0,3,0,4.0
935018,0,4,2,4,,1,0,
939299,0,5,2,5,,2,0,
982770,7,2,2,2,1.0,3,0,2.0
1033776,0,3,2,3,,2,0,
1043390,0,5,2,5,,3,0,4.0
1068568,0,8,1,2,,3,0,2.0
1068816,0,1,2,1,,3,0,
1111329,0,1,2,1,,3,0,3.0
1140540,0,3,2,3,,3,0,
12260,0,3,2,3,,2,0,
45057,5,2,2,2,1.0,3,1,4.0
49145,67,9,1,3,2.0,3,0,4.0
53074,0,2,2,2,,2,1,
150174,34,4,2,4,2.0,3,0,3.0
175468,0,4,2,4,2.0,2,0,
207123,0,5,2,5,1.0,3,0,
219603,34,4,2,4,2.0,3,0,4.0
224384,33,4,2,4,2.0,3,0,2.0
241975,0,8,1,2,,2,0,
296510,0,4,2,4,,2,0,
309622,7,2,2,2,1.0,3,0,2.0
335895,0,4,2,4,,1,0,
436598,0,10,1,4,,3,0,2.0
483536,0,11,1,5,,1,0,
525024,0,10,1,4,,3,0,1.0
547850,0,6,2,6,,2,0,
598789,0,3,2,3,,3,0,4.0
619886,0,4,2,4,,3,0,2.0
629915,0,7,1,1,,3,0,
684140,20,3,2,3,2.0,3,0,3.0
812632,92,11,1,5,2.0,3,0,4.0
841287,77,10,1,4,1.0,3,0,2.0
884069,0,4,2,4,,1,0,
1005488,68,9,1,3,3.0,3,0,1.0
1017272,8,2,2,2,2.0,3,0,3.0
1080110,6,2,2,2,2.0,2,0,4.0
1090555,0,4,2,4,2.0,2,0,
1098754,18,3,2,3,2.0,3,0,1.0
1100377,0,5,2,5,,3,0,3.0
1105548,82,10,1,4,3.0,3,0,2.0
1128990,0,11,1,5,,3,0,
67905,8,2,2,2,1.0,3,0,4.0
159606,0,4,2,4,,2,0,
177371,0,5,2,5,,3,0,2.0
183274,17,3,2,3,1.0,3,0,3.0
269916,0,10,1,4,,3,0,
286858,17,3,2,3,1.0,3,0,4.0
298706,0,8,1,2,,3,0,4.0
299333,0,4,2,4,2.0,2,0,
361156,0,3,2,3,,1,0,
366119,0,4,2,4,2.0,3,0,
383621,0,3,2,3,,3,0,3.0
401867,0,3,2,3,,3,0,
415388,0,4,2,4,,3,0,
433583,0,5,2,5,,3,0,2.0
550799,0,10,1,4,,3,0,
755136,56,8,1,2,2.0,3,0,2.0
757895,0,4,2,4,,3,0,3.0
773218,19,3,2,3,2.0,3,0,2.0
801069,0,1,2,1,,2,0,
803326,0,10,1,4,,2,0,
807977,0,10,1,4,,3,0,3.0
831644,0,9,1,3,,2,0,
852512,19,3,2,3,2.0,3,0,2.0
919446,0,11,1,5,,3,0,2.0
935938,0,1,2,1,,3,0,
939163,0,5,2,5,,2,0,
944354,0,3,2,3,,3,0,
965167,2,1,2,1,1.0,3,0,4.0
981814,0,4,2,4,,3,0,4.0
998751,19,3,2,3,1.0,3,0,2.0
1005079,89,11,1,5,1.0,3,0,4.0
1082165,0,10,1,4,,3,0,4.0
1098241,0,3,2,3,,3,0,2.0
1108972,0,5,2,5,,1,0,
1759,2,1,2,1,2.0,3,0,2.0
2130,0,10,1,4,,3,0,2.0
124787,0,10,1,4,,1,0,
126101,61,9,1,3,2.0,2,0,4.0
196192,0,10,1,4,,2,0,
314009,0,3,2,3,,3,0,3.0
324142,0,3,2,3,,1,0,
325015,0,8,1,2,,3,0,2.0
357324,56,8,1,2,2.0,3,0,2.0
385500,7,2,2,2,2.0,3,0,2.0
440995,0,8,1,2,,3,0,3.0
449413,0,1,2,1,,1,0,
512406,7,2,2,2,2.0,3,0,2.0
558416,0,4,2,4,,3,0,
596669,0,11,1,5,,2,0,
628357,8,2,2,2,1.0,3,0,3.0
692370,0,5,2,5,,2,0,
697567,0,3,2,3,,3,0,3.0
718307,0,10,1,4,2.0,3,0,
741825,48,6,2,6,2.0,2,0,
803231,0,9,1,3,,2,0,
844208,81,10,1,4,2.0,3,0,3.0
848162,0,10,1,4,2.0,2,0,
1007794,54,8,1,2,1.0,3,1,2.0
1012322,0,10,1,4,,3,0,4.0
1014505,0,10,1,4,,3,0,3.0
1027002,0,5,2,5,,3,0,2.0
1033752,0,4,2,4,,3,0,2.0
1077316,0,2,2,2,,2,0,
1093460,0,3,2,3,,3,0,
1107101,34,4,2,4,2.0,3,0,4.0
5459,0,11,1,5,2.0,2,0,
26230,0,10,1,4,1.0,3,0,
48935,8,2,2,2,1.0,3,0,3.0
73607,0,4,2,4,1.0,3,0,
123258,16,3,2,3,1.0,3,0,2.0
198884,0,5,2,5,,2,0,
219446,0,3,2,3,,3,0,2.0
272306,42,5,2,5,1.0,3,0,3.0
293315,0,4,2,4,,2,0,3.0
306409,0,2,2,2,,2,0,
542524,0,5,2,5,1.0,2,0,
638611,91,11,1,5,2.0,3,0,2.0
752697,5,2,2,2,1.0,3,1,2.0
757065,19,3,2,3,2.0,3,0,2.0
825663,33,4,2,4,2.0,3,0,2.0
862349,0,11,1,5,,2,0,
898675,82,10,1,4,3.0,3,0,2.0
915044,66,9,1,3,2.0,3,0,2.0
951622,0,7,1,1,,1,0,
1002089,0,2,2,2,,2,0,
1004725,0,3,2,3,,3,1,2.0
1032127,0,10,1,4,,3,0,2.0
1042823,0,5,2,5,,3,0,3.0
9502,0,4,2,4,,1,0,
28246,0,2,2,2,,3,0,4.0
30593,0,11,1,5,,2,0,
70910,7,2,2,2,1.0,3,0,2.0
136070,81,10,1,4,2.0,3,0,4.0
330808,0,11,1,5,2.0,2,0,
457036,0,8,1,2,,3,0,
504170,0,5,2,5,,2,0,
513262,18,3,2,3,2.0,3,0,1.0
591461,80,10,1,4,2.0,3,0,2.0
595532,0,3,2,3,,3,0,4.0
602028,19,3,2,3,2.0,3,0,2.0
695471,96,12,1,6,2.0,3,0,4.0
714071,0,4,2,4,,2,0,
753978,91,11,1,5,2.0,3,0,2.0
776547,20,3,2,3,2.0,3,0,4.0
848393,45,5,2,5,2.0,3,0,4.0
952379,0,11,1,5,,1,0,
966333,2,1,2,1,1.0,3,0,
996237,57,8,1,2,2.0,3,0,4.0
1019841,0,5,2,5,,3,0,3.0
1039326,54,8,1,2,1.0,3,1,3.0
1056009,0,5,2,5,,3,0,2.0
1109944,0,9,1,3,,1,0,
1131748,30,4,2,4,1.0,3,0,2.0
75106,0,11,1,5,,3,0,
148937,81,10,1,4,2.0,3,0,4.0
151133,0,10,1,4,,3,0,4.0
162084,0,12,1,6,,3,0,2.0
311246,0,2,2,2,2.0,3,0,
428508,0,8,1,2,,1,0,
437681,5,2,2,2,1.0,3,1,3.0
660237,66,9,1,3,2.0,3,0,2.0
679900,66,9,1,3,2.0,3,0,2.0
730857,8,2,2,2,2.0,3,0,3.0
795992,0,9,1,3,,3,0,2.0
811435,19,3,2,3,2.0,3,0,2.0
848051,44,5,2,5,2.0,3,0,2.0
859896,0,10,1,4,,3,0,2.0
877543,17,3,2,3,1.0,3,0,4.0
966292,0,9,1,3,,3,0,2.0
1122816,0,4,2,4,2.0,3,0,
39698,20,3,2,3,2.0,3,0,4.0
112469,0,3,2,3,,3,0,3.0
179368,0,4,2,4,2.0,3,0,
211183,81,10,1,4,2.0,3,0,3.0
216848,0,3,2,3,,3,0,
232741,0,9,1,3,,2,1,
247614,77,10,1,4,1.0,3,0,2.0
288922,34,4,2,4,2.0,3,0,4.0
364322,0,3,2,3,,3,0,
376057,0,11,1,5,2.0,2,0,
384498,31,4,2,4,1.0,3,0,3.0
441985,0,4,2,4,,3,0,2.0
454645,16,3,2,3,1.0,3,0,2.0
460909,8,2,2,2,1.0,3,0,4.0
476205,0,11,1,5,,1,0,
479968,0,5,2,5,,2,0,
496544,0,5,2,5,,3,0,2.0
508804,4,2,2,2,1.0,2,1,4.0
519549,0,9,1,3,,3,0,1.0
554097,8,2,2,2,2.0,3,0,4.0
